Tag;AVG_LWET200;AVG_RH200;AVG_TA020;AVG_TA200;AVG_TB005;AVG_WV200;DFROST;DHOT;DICE;DRAIN;DSUMM;DVEG;KWB;MAX_GS200;MAX_LWET200;MAX_NN050;MAX_RH200;MAX_TA020;MAX_TA200;MAX_TB005;MAX_WV200;MAX_WV200max;MIN_LWET200;MIN_RH200;MIN_TA020;MIN_TA200;MIN_TB005;SUM_GS200;SUM_NN050;SUM_SOH
21.06.2023;32,5;77,7;22,1;21,5;20,1;1,2;0;0;0;1;1;1;-0,4;823,5;100;2,4;94,9;28,3;26,1;20,8;2;3,5;8,1;60,1;15,6;16,6;19,4;4627;3,1;5
22.06.2023;14,3;65,6;24,4;24;20,2;1,9;0;1;0;0;1;1;-4,9;664,1;44,6;0;91,3;32;30,4;21,1;4,2;7,6;7;37,1;17,2;18,1;19,3;5238,4;0;6
23.06.2023;23,9;67,3;19,9;19,4;19,4;2,9;0;0;0;1;0;1;-3,7;754,6;98,8;0,7;93,5;26,3;23,6;20,1;4,5;7,4;7,6;44,1;12,6;15,1;19;5524,6;0,8;7
24.06.2023;28,3;57,4;20,9;20,3;18,9;1,2;0;0;0;0;1;1;-5,4;940,7;99,2;0;94,6;29,4;27;20,4;2,2;4,4;4,7;32,9;9,2;10,5;17,6;8358,8;0;14
25.06.2023;10;51,5;22;21,9;19,3;1,2;0;0;0;0;1;1;-5,9;945,2;24,8;0;85,9;31,3;29,3;20,6;2,5;5;3,5;26,8;10,2;12,6;17,9;8591,1;0;14
26.06.2023;9,1;51,5;23;22,9;19,3;2,8;0;0;0;0;1;1;-6,3;782,7;14,4;0;79,5;31,8;29,5;20,3;5,4;8,7;6,3;36,1;12;14,5;18,3;7094,8;0;11
27.06.2023;8,6;53,1;19,5;18,9;18,8;1,6;0;0;0;0;0;1;-4;542,8;10,4;0;67,6;24,3;22,1;19,2;3,3;5,1;6,8;38,9;14,7;15,5;18,3;4886,5;0;5
28.06.2023;9,4;54,5;20,3;19,6;18,7;1,5;0;0;0;0;0;1;-4,6;951,7;28,3;0;77,4;28,7;24,4;19,6;2,4;4,3;5,3;39,6;12,5;14,8;17,9;6159,9;0;8
29.06.2023;13,2;60,8;21,2;20,5;18,7;1,3;0;0;0;0;1;1;-4,7;957,8;62,9;0;89,6;30,8;27,3;19,7;3,3;5,4;5,1;37,2;9,8;11,4;17,6;6374;0;9
30.06.2023;34,7;83,6;18,5;18,3;18,9;1,5;0;0;0;1;0;1;7,4;584,8;100;4,7;95;23,2;21,3;19,3;3,4;5,3;11,1;73,6;15,2;16,3;18,5;2970,9;9,7;1
01.07.2023;22,4;71,1;18,5;18;18,5;2,3;0;0;0;0;0;1;-4,2;805,6;84,6;0;92;24,6;22,5;18,9;3,7;7,1;7,3;40,1;12,4;13;18;5375,3;0;7
02.07.2023;30,3;64,3;18,9;18,5;18,4;2,3;0;0;0;1;0;1;-4,6;800,4;100;0,1;94,4;26,9;24,1;19,1;3,9;6,9;6,1;36,2;10,5;13,7;17,8;6310,3;0,2;9
03.07.2023;10,8;58,3;19,1;18,8;18;2,3;0;0;0;0;0;1;-4,4;779,8;33;0;77,6;25,9;23,1;18,6;3,9;6,7;7;41,7;9,6;13;17,4;5322,3;0;7
04.07.2023;10,8;63,7;19,8;19,5;18,2;1,6;0;0;0;0;1;1;-4,1;602,2;15,1;0;88;27,9;25,3;18,9;3,2;5,5;6,2;38;13,1;15,1;17,6;4990,3;0;6
05.07.2023;15,6;64;18,5;18,3;18,2;2,2;0;0;0;1;0;1;-0,7;957,8;96,2;4;88;25,2;22,5;18,9;4,2;7,5;6,2;37,6;11,6;13,7;17,6;6605,6;4;10
06.07.2023;20,3;56,8;18,9;18,6;18;1,1;0;0;0;0;0;1;-4,5;945,8;87,1;0;90,8;27,3;24,3;19;1,9;3,6;5,3;35;8,2;10;16,9;6934,8;0;11
07.07.2023;13,6;49,7;21,8;21,8;18,3;1,2;0;1;0;0;1;1;-5,8;926,3;74;0;90,4;32,2;30,2;19,8;2,2;4,4;3,2;24,4;8,2;9,8;16,9;8334,7;0;14
08.07.2023;7,7;49,2;23,3;23,8;19;1,2;0;1;0;0;1;1;-5,3;889,8;11,7;0;72,7;33,6;31,1;20,2;2,9;4,9;3,8;31,4;11,7;14,7;17,9;6630,1;0;10
09.07.2023;8,5;51,6;25,6;25,9;19,9;1,1;0;1;0;0;1;1;-6;917,8;18;0;86,3;35,8;34,5;21,3;2,2;4,1;3;24;13,6;15,6;18,5;7649,8;0;12
10.07.2023;9;54,1;25;25,3;20,5;2;0;1;0;0;1;1;-6;786,5;25,1;0;73;33,7;31,5;21,4;3,5;6,2;5;33,5;16,4;18,9;19,6;6522;0;10
11.07.2023;18,4;56,7;26;25,7;20,6;1,8;0;1;0;1;1;1;7,8;883,5;100;7,6;96,1;37,2;35,5;21,9;3,5;6,6;3,9;25,8;13,1;15,5;19,3;7100,9;14,3;11
12.07.2023;27,8;69,6;22,9;22,5;21;2,6;0;0;0;1;1;1;-5,3;923;100;0,2;97,4;30,5;28,5;21,7;4,1;7,4;6;42;16,2;18,2;20,3;6867,2;0,3;11
13.07.2023;9,7;55,5;20,5;20,1;20,2;1,9;0;0;0;0;0;1;-4,8;805,9;20;0;88,9;28;24,8;20,8;4,3;6,6;5,2;36,5;12,6;14,2;19,6;6518,1;0;10
14.07.2023;20,8;58,4;20,7;20,8;19,6;1,1;0;0;0;0;1;1;-4,6;740,6;88,4;0;92,6;30,4;28,1;20,5;1,9;4;4,1;33,7;9,8;11,4;18,6;6309,7;0;9
15.07.2023;21,1;57,6;24,9;25,1;20,1;1,8;0;1;0;1;1;1;-2,2;822,9;100;1,5;93,8;37,8;35,3;21,2;5,6;8,6;2,8;24,9;13,8;16,2;18,9;6161,7;3,8;9
16.07.2023;30,1;70,5;20,7;20,1;20,5;1,6;0;0;0;1;1;1;11,4;944,8;100;13,4;96,2;27,6;25,1;21,1;2,8;5,2;6,2;45,7;15,9;16,4;19,9;6210;15,8;9
17.07.2023;10,3;58,9;20,8;21;20,2;1,7;0;0;0;0;1;1;-4,5;757;20,7;0;86;27,7;25,8;20,7;3,4;5,8;5,9;40,3;12,4;15,7;19,7;5885,3;0;8
